1631059200000,46878.13000000,47000.76000000,46852.76000000,46914.18000000,22.77554000,1631059259999,1068615.03107320,971,9.02155000,423279.23906740,0
1631059260000,46914.18000000,46921.16000000,46740.51000000,46766.14000000,17.18137000,1631059319999,804476.91529420,747,8.29261000,388296.03275690,0
1631059320000,46770.60000000,46858.89000000,46711.02000000,46800.39000000,22.49353000,1631059379999,1052686.09658650,832,9.15424000,428284.98937980,0
1631059380000,46800.39000000,46829.94000000,46733.31000000,46750.97000000,20.68339000,1631059439999,967877.57883790,737,9.68553000,453228.64079030,0
1631059440000,46750.96000000,46773.30000000,46634.95000000,46700.77000000,26.12664000,1631059499999,1220623.85762750,969,14.15587000,661416.10286840,0
1631059500000,46693.75000000,46713.93000000,46638.39000000,46667.53000000,14.33797000,1631059559999,669201.26573100,634,7.33681000,342453.42954540,0
1631059560000,46667.54000000,46680.03000000,46559.90000000,46606.01000000,14.72906000,1631059619999,686503.11853990,795,7.52189000,350565.93275680,0
1631059620000,46606.02000000,46617.39000000,46450.00000000,46484.84000000,22.19968000,1631059679999,1032576.52225620,968,6.87643000,319798.06828330,0
1631059680000,46484.84000000,46545.21000000,46481.65000000,46500.00000000,10.96476000,1631059739999,509888.51005670,481,4.09651000,190507.27271650,0
1631059740000,46500.00000000,46623.70000000,46500.00000000,46523.97000000,16.75923000,1631059799999,780324.23514060,600,10.71712000,499046.68110050,0
1631059800000,46523.97000000,46677.06000000,46511.53000000,46665.53000000,12.49903000,1631059859999,582601.61370480,564,5.79358000,270111.31899010,0
1631059860000,46665.53000000,46744.97000000,46656.00000000,46742.62000000,4.65135000,1631059919999,217268.09557160,438,2.66231000,124349.36944190,0
1631059920000,46745.78000000,46867.35000000,46735.27000000,46861.82000000,10.43033000,1631059979999,488282.47897620,749,6.41406000,300242.96978710,0
1631059980000,46861.81000000,46861.81000000,46677.27000000,46725.31000000,8.72965000,1631060039999,408176.76090320,546,3.80888000,178119.20793480,0
1631060040000,46724.74000000,46726.51000000,46628.60000000,46681.22000000,10.52479000,1631060099999,491131.58994420,530,5.45292000,254471.62175610,0
1631060100000,46681.22000000,46776.43000000,46665.41000000,46743.03000000,7.02214000,1631060159999,327998.81006890,460,3.10339000,144975.52129930,0
1631060160000,46740.10000000,46747.68000000,46619.41000000,46624.93000000,8.23179000,1631060219999,384368.67397530,455,3.21173000,149999.28187790,0
1631060220000,46624.93000000,46642.56000000,46573.52000000,46597.39000000,11.07721000,1631060279999,516180.43177140,594,5.24769000,244537.83160710,0
1631060280000,46608.91000000,46636.23000000,46557.15000000,46633.90000000,10.44201000,1631060339999,486561.58208900,438,4.26584000,198761.22616710,0
1631060340000,46633.90000000,46633.90000000,46557.57000000,46589.77000000,6.56962000,1631060399999,306062.10117610,328,2.99451000,139519.17983420,0
1631060400000,46604.82000000,46643.50000000,46577.52000000,46634.86000000,13.90454000,1631060459999,648152.54318310,529,4.40499000,205358.06041100,0
1631060460000,46634.86000000,46740.87000000,46624.29000000,46676.31000000,15.33032000,1631060519999,715293.69075810,637,10.71530000,499864.32412390,0
1631060520000,46676.31000000,46750.83000000,46644.66000000,46750.83000000,9.82033000,1631060579999,458646.84432860,469,4.89480000,228621.40767600,0
1631060580000,46747.40000000,46767.61000000,46713.65000000,46732.27000000,5.13526000,1631060639999,240058.63785380,326,2.28945000,107028.01973620,0
1631060640000,46730.65000000,46818.43000000,46689.56000000,46760.36000000,4.91496000,1631060699999,229888.31845590,338,2.88350000,134869.25824950,0
1631060700000,46766.05000000,46792.97000000,46737.48000000,46782.77000000,10.99340000,1631060759999,514007.55672860,278,3.42258000,160014.07374690,0
1631060760000,46786.48000000,46830.53000000,46740.71000000,46830.53000000,5.25301000,1631060819999,245766.46914490,262,3.67272000,171850.26068270,0
1631060820000,46830.52000000,46838.82000000,46787.29000000,46838.81000000,10.00799000,1631060879999,468444.93499190,341,2.99360000,140129.49369030,0
1631060880000,46832.07000000,46859.99000000,46815.68000000,46859.99000000,12.80538000,1631060939999,599837.02328170,413,11.00252000,515395.74006860,0
1631060940000,46859.99000000,46916.83000000,46859.98000000,46870.61000000,12.31430000,1631060999999,577315.02377940,569,6.60865000,309828.77531000,0
1631061000000,46879.57000000,46937.78000000,46877.11000000,46917.84000000,12.23907000,1631061059999,574171.05763070,545,6.09961000,286124.71161330,0
1631061060000,46920.12000000,46969.68000000,46916.73000000,46969.68000000,7.61527000,1631061119999,357497.66064240,463,3.58660000,168374.37766640,0
1631061120000,46969.72000000,47034.38000000,46969.71000000,47034.38000000,16.52035000,1631061179999,776493.72928490,590,13.12725000,616999.89247600,0
1631061180000,47032.59000000,47032.59000000,46920.00000000,46927.54000000,18.34275000,1631061239999,861233.08151580,509,9.15699000,429788.05983340,0
1631061240000,46928.55000000,47089.11000000,46881.76000000,47065.95000000,28.64470000,1631061299999,1346887.74387200,939,16.11864000,757804.10946660,0
1631061300000,47063.18000000,47109.73000000,47023.46000000,47056.14000000,17.88985000,1631061359999,842113.85088440,704,12.05282000,567350.60239180,0
1631061360000,47056.13000000,47056.13000000,46941.31000000,46983.38000000,16.68837000,1631061419999,784416.92272250,676,5.95923000,280066.35331460,0
1631061420000,46983.37000000,47022.50000000,46941.10000000,46942.40000000,6.89965000,1631061479999,324148.49536700,370,3.71042000,174329.08810520,0
1631061480000,46942.39000000,46964.97000000,46933.48000000,46938.17000000,5.86007000,1631061539999,275110.32104430,329,2.10848000,98992.74436440,0
